date,title,categorie,prix,availability,rating
2024-10-20,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,In,Five
2024-10-20,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,In,One
2024-10-20,This One Summer,Sequential Art,£19.49,In,Four
2024-10-20,The Nameless City (The Nameless City #1),Sequential Art,£38.16,In,Four
2024-10-20,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,In,Two
2024-10-20,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,In,Three
2024-10-20,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,In,Five
2024-10-20,"Pop Gun War, Volume 1: Gift",Sequential Art,£18.97,In,One
2024-10-20,Patience,Sequential Art,£10.16,In,Three
2024-10-20,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,£15.44,In,Four
2024-10-20,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,£48.41,In,One
2024-10-20,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,£46.91,In,Two
2024-10-20,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,In,Three
2024-10-20,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,£19.92,In,Two
2024-10-20,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,In,Two
2024-10-20,I am a Hero Omnibus Volume 1,Sequential Art,£54.63,In,Three
2024-10-20,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,In,Two
2024-10-20,Danganronpa Volume 1,Sequential Art,£51.99,In,Four
2024-10-20,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,In,Four
2024-10-20,Camp Midnight,Sequential Art,£17.08,In,Four
2024-10-20,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,£49.05,In,Three
2024-10-20,"Eat Fat, Get Thin",Health,£54.07,In,Two
2024-10-20,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,£49.71,In,Five
2024-10-20,The Art and Science of Low Carbohydrate Living,Health,£52.98,In,Five
2024-10-20,Amid the Chaos,Cultural,£36.58,In,One
2024-10-20,It's Only the Himalayas,Travel,£45.17,In,Two
2024-10-20,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,£49.43,In,Four
2024-10-20,Dark Notes,Erotica,£19.19,In,Five
2024-10-20,Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,£54.81,In,Five
2024-10-20,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,£10.97,In,One
2024-10-20,See America: A Celebration of Our National Parks & Treasured Sites,Travel,£48.87,In,Three
2024-10-20,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,£36.94,In,Two
2024-10-20,Under the Tuscan Sun,Travel,£37.33,In,Three
2024-10-20,A Summer In Europe,Travel,£44.34,In,Two
2024-10-20,The Great Railway Bazaar,Travel,£30.54,In,One
2024-10-20,A Year in Provence (Provence #1),Travel,£56.88,In,Four
2024-10-20,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,£23.21,In,One
2024-10-20,Neither Here nor There: Travels in Europe,Travel,£38.95,In,Three
2024-10-20,"1,000 Places to See Before You Die",Travel,£26.08,In,Five
2024-10-20,Libertarianism for Beginners,Politics,£51.33,In,Two
2024-10-20,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,£52.65,In,Four
2024-10-20,Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,£56.86,In,One
2024-10-20,Logan Kade (Fallen Crest High #5.5),Academic,£13.12,In,Two
2024-10-20,Sharp Objects,Mystery,£47.82,In,Four
2024-10-20,"In a Dark, Dark Wood",Mystery,£19.63,In,One
